"","long","lat","fecha_instalacion","elemento","linea_1","linea_2","linea_3","observaciones","calle_nombre","calle_altura","barrio","comuna","codigo_postal","codigo_postal_argentino"
"1",-58.3919242679079,-34.608243927465,"2012-08-01 00:00:00","REFUGIO","60","","","NUEVO","Callao Av.","57","San Nicolas","1",1022,"C1022AAA"
"2",-58.3919839589497,-34.6073038093478,"2012-08-01 00:00:00","REFUGIO","37","","","NUEVO","Callao Av.","153","San Nicolas","1",1022,"C1022AAB"
"3",-58.3921189221649,-34.6053906025063,"2012-08-01 00:00:00","REFUGIO","60","","","NUEVO","Callao Av.","327","San Nicolas","1",1022,"C1022AAD"
"4",-58.3922534738109,-34.6037046146568,"2012-08-01 00:00:00","REFUGIO","37","","","NUEVO","Callao Av.","463","San Nicolas","1",1022,"C1022AAE"
"5",-58.3927052594807,-34.6005522050515,"2012-08-01 00:00:00","REFUGIO","37","","","NUEVO","Callao Av.","723","San Nicolas","1",1023,"C1023AAA"
"6",-58.3927821421456,-34.6000080004386,"2012-08-01 00:00:00","REFUGIO","12","","","NUEVO","CALLAO AV.","781","San Nicolas","1",1023,"C1023AAA"
"7",-58.3917990133861,-34.6100972113614,"2012-08-01 00:00:00","REFUGIO","12","150","","NUEVO","ENTRE RIOS, AV.","70","Monserrat","1",1079,"C1079ABN"
"8",-58.3916561625135,-34.6128131853859,"2012-08-01 00:00:00","REFUGIO","37","150","","NUEVO","ENTRE RIOS, AV.","312","Monserrat","1",1079,"C1079ABQ"
"9",-58.3915777297112,-34.6150375785235,"2012-08-01 00:00:00","REFUGIO","84","","","NUEVO","ENTRE RIOS, AV.","510","Monserrat","1",1079,"C1079ABS"
"10",-58.3915956198483,-34.6177335499297,"2012-08-01 00:00:00","REFUGIO","84","168","","NUEVO","ENTRE RIOS, AV.","796","Monserrat","1",1080,"C1080ABO"
"11",-58.3912615527234,-34.6249166209906,"2012-08-01 00:00:00","REFUGIO","151","168","","NUEVO","ENTRE RIOS, AV.","1366","Constitucion","1",1133,"C1133AAO"
"12",-58.3917935211803,-34.6101724349847,"2012-09-01 00:00:00","REFUGIO","37","","","NUEVO","Entre Rios Av.","86","Monserrat","1",1079,"C1079ABN"
"13",-58.391686929637,-34.6118311535684,"2012-09-01 00:00:00","REFUGIO","56","","","NUEVO","Entre Rios Av.","226","Monserrat","1",1079,"C1079ABP"
"14",-58.3916334895874,-34.6133934191634,"2012-09-01 00:00:00","REFUGIO","12","","","NUEVO","Entre Rios Av.","364","Monserrat","1",1079,"C1079ABQ"
"15",-58.3915647689569,-34.6155544951477,"2012-09-01 00:00:00","REFUGIO","151","","","NUEVO","Entre Rios Av.","578","Monserrat","1",1079,"C1079ABS"
"16",-58.3915554348016,-34.6195400971274,"2012-09-01 00:00:00","REFUGIO","37","","","NUEVO","Entre Rios Av.","940","Constitucion","1",1080,"C1080ABQ"
"17",-58.391371501104,-34.6231485446701,"2012-09-01 00:00:00","REFUGIO","12","","","NUEVO","Entre Rios Av.","1228","Constitucion","1",1133,"C1133AAN"
"18",-58.3912177880746,-34.6253847809159,"2012-09-01 00:00:00","REFUGIO","150","","","NUEVO","Entre Rios Av.","1410","Constitucion","1",1133,"C1133AAP"
"19",-58.3910220004245,-34.6276441060637,"2012-09-01 00:00:00","REFUGIO","4","12","133","NUEVO","Entre Rios Av.","1628","Constitucion","1",1133,"C1133AAR"
"20",-58.3907628281553,-34.6298468595899,"2012-09-01 00:00:00","REFUGIO","50","133","","NUEVO","Entre Rios Av.","1836","Constitucion","1",1133,"C1133AAT"
"21",-58.3914248476426,-34.6221738356907,"2012-09-01 00:00:00","REFUGIO","37","150","","NUEVO","ENTRE RIOS, AV.","1154","Constitucion","1",1080,"C1080ABS"
"22",-58.3922170898821,-34.6041671131749,"2012-10-01 00:00:00","REFUGIO","150","","","NUEVO","Av. Callao","435","San Nicolas","1",1022,"C1022AAE"
"23",-58.3927523340802,-34.6002189940983,"2012-10-01 00:00:00","REFUGIO","150","","","NUEVO","Av. Callao","765","San Nicolas","1",1023,"C1023AAA"
"24",-58.3916712229393,-34.6124628331116,"2012-10-01 00:00:00","REFUGIO","151","","","NUEVO","Av. Entre Rios","286","Monserrat","1",1079,"C1079ABP"
"25",-58.3916060000927,-34.6141326491304,"2012-10-01 00:00:00","REFUGIO","50","","","NUEVO","Av. Entre Rios","426","Monserrat","1",1079,"C1079ABR"
"26",-58.3915956198483,-34.6177335499297,"2012-10-01 00:00:00","REFUGIO","6","","","NUEVO","Av. Entre Rios","772","Monserrat","1",1080,"C1080ABO"
"27",-58.3912999415429,-34.6244286910513,"2012-10-01 00:00:00","REFUGIO","","","","NUEVO","Av. Entre Rios","1334","Constitucion","1",1133,"C1133AAO"
"28",-58.3747126833075,-34.6072438221986,"2012-11-01 00:00:00","REFUGIO","50","146","","NUEVO","DIAGONAL NORTE","567","San Nicolas","1",1035,"C1035AAA"
"29",-58.3767768475702,-34.6063808976126,"2012-11-01 00:00:00","REFUGIO","24","29","","NUEVO","DIAGONAL NORTE","720","San Nicolas","1",1035,"C1035AAP"
"30",-58.38235993,-34.62571869,"2012-11-01 00:00:00","REFUGIO","53","","","NUEVO","LIMA","1485","Constitucion","1",1138,"C1138ACE"
"31",-58.38235993,-34.62571869,"2012-11-01 00:00:00","REFUGIO","53","","","NUEVO","LIMA","1485","Constitucion","1",1138,"C1138ACE"
