"","long","lat","smp","calle","num","tipo1_16","tipo2_16","pisos_16","nombre","observacio","barrio","comuna","X5_dig","X4_dig","X3_dig","X2_dig","rama","subrama","ssrama"
"1",-58.3773324744588,-34.6222604020473,"004-002-001B","PIEDRAS",1215,"L","LOCAL CERRADO",1,"","","CONSTITUCION",1,0,0,0,0,"LOCAL CERRADO","LOCAL CERRADO","LOCAL CERRADO"
"2",-58.3773324744588,-34.6222604020473,"004-002-001B","PIEDRAS",1205,"L","LOCAL CERRADO",1,"","","CONSTITUCION",1,0,0,0,0,"LOCAL CERRADO","LOCAL CERRADO","LOCAL CERRADO"
"3",-58.3773324744588,-34.6222604020473,"004-002-001B","PIEDRAS",1209,"E","VIVIENDA",4,"","","CONSTITUCION",1,3,0,0,0,"EDIFICIOS","VIVIENDA",""
"4",-58.3773324744588,-34.6222604020473,"004-002-001B","SAN JUAN AV.",800,"L","PANADERIA (VENTA NO ELAB.)",1,"","","CONSTITUCION",1,52241,5224,522,52,"COMERCIO","VENTA AL POR MENOR DE PRODUCTOS ALIMENTICIOS ESPECIALIZADOS","PAN Y PRODUCTOS DE PANADERIA"
"5",-58.3774423933736,-34.6224004419928,"004-002-002B","SAN JUAN AV.",812,"E","CASA",2,"","","CONSTITUCION",1,4,0,0,0,"EDIFICIOS","CASA",""
"6",-58.377529346311,-34.6223986779435,"004-002-003C","SAN JUAN AV.",814,"EDU","HOTEL",3,"","","CONSTITUCION",1,55122,5512,551,55,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA","HOTEL"
"7",-58.3776587065652,-34.6223988707415,"004-002-004D","SAN JUAN AV.",830,"E","VIVIENDA",11,"","","CONSTITUCION",1,3,0,0,0,"EDIFICIOS","VIVIENDA",""
"8",-58.3776587065652,-34.6223988707415,"004-002-004D","SAN JUAN AV.",824,"L","GOMERIA",1,"","","CONSTITUCION",1,50202,5020,502,50,"VENTA Y REP. DE VEHICULOS AUTOMOTORES","MANTENIMIENTO Y REPARACION",""
"9",-58.3777838617888,-34.6223980784022,"004-002-006E","SAN JUAN AV.",844,"EDU","HOTEL",2,"PROVINCIAL","","CONSTITUCION",1,55122,5512,551,55,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA","HOTEL"
"10",-58.3778683863045,-34.6223997058651,"004-002-006H","SAN JUAN AV.",848,"E","VIVIENDA",2,"","","CONSTITUCION",1,3,0,0,0,"EDIFICIOS","VIVIENDA",""
"11",-58.3779539895711,-34.6224012751641,"004-002-007C","SAN JUAN AV.",850,"LOTE","LOTE",0,"","","CONSTITUCION",1,15,0,0,0,"LOTE","LOTE",""
"12",-58.3780388479174,-34.6224027315071,"004-002-008C","SAN JUAN AV.",854,"LOTE","LOTE",0,"","","CONSTITUCION",1,15,0,0,0,"LOTE","LOTE",""
"13",-58.3781191753177,-34.6224037171419,"004-002-009C","SAN JUAN AV.",864,"E","VIVIENDA",2,"","","CONSTITUCION",1,3,0,0,0,"EDIFICIOS","VIVIENDA",""
"14",-58.3781964113142,-34.6224098370947,"004-002-010B","SAN JUAN AV.",868,"E","VIVIENDA",6,"","","CONSTITUCION",1,3,0,0,0,"EDIFICIOS","VIVIENDA",""
"15",-58.3782743307703,-34.622393785796,"004-002-011","SAN JUAN AV.",878,"E","VIVIENDA",1,"","","CONSTITUCION",1,3,0,0,0,"EDIFICIOS","VIVIENDA",""
"16",-58.3783501078862,-34.6223213296315,"004-002-012B","SAN JUAN AV.",880,"L","SUPERMERCADO",1,"","","CONSTITUCION",1,52110,5211,521,52,"COMERCIO","VENTA AL POR MENOR EXEPTO LA ESPECIALIZADA","AUTOSERVICIO Y SUPERMERCADO"
"17",-58.3784199071576,-34.6224714341577,"004-002-016","TACUARI",1218,"E","VIVIENDA",2,"","","CONSTITUCION",1,3,0,0,0,"EDIFICIOS","VIVIENDA",""
