"","codigo_del_inmueble","organizacion","pais","provincia","departamento","localidad","calle","numero","situacion_inmueble","superficie_aproximada_m2","longitud","latitud"
"1",200002040,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Avenida Rivadavia","1355","Propiedad del ENA",946.18,-58.3856772514,-34.6084300149
"2",200002059,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Avenida de Mayo","1317","Propiedad del ENA",1361.25,-58.3850685344,-34.6089557188
"3",200002067,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Avenida Paseo Colon","635","Propiedad del ENA",2740.15,-58.3698313808,-34.6150957993
"4",200002083,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Carlos Pellegrini","675","Propiedad del ENA",1137.77,-58.3807413794,-34.6004892217
"5",200002091,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Carlos Pellegrini","53","Propiedad del ENA",455.53,-58.3804470299,-34.6077409494
"6",200002105,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Avenida Rivadavia","1745","Propiedad del ENA",841.7,-58.3912102,-34.6088987092
"7",200002113,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Humberto Primo","102-108-110","Propiedad del ENA",3295.14,-58.3674396779,-34.6210218154
"8",200002121,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Hipolito Yrigoyen","370","Propiedad del ENA",11165.97,-58.3713989974,-34.6094961176
"9",200002131,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"San Martin","440","Propiedad del ENA",363.72,-58.3740777519,-34.6028661755
"10",200002148,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Bernardo de Irigoyen","474/478/482/486","Propiedad del ENA",1067.99,-58.3800461064,-34.6137871503
"11",200002156,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Tte. Gral Juan D. Peron","1378","Propiedad del ENA",761.85,-58.3860127426,-34.6066677017
"12",200002164,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Bartolome Mitre","841/45","Propiedad del ENA",368.39,-58.3785017026,-34.6069198994
"13",200002180,"AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS","Argentina","Ciudad Autonoma de Buenos Aires","Comuna 1",NA,"Azopardo","350","Propiedad del ENA",4399.31,-58.3676263024,-34.6116089076
